sample_id,subject,block_num,condition,temporal_stratum,capture_frame_idx,avi_frame_idx,unix_ms,eye,pipeline_status,face_status,roi_status,frame_purpose,context_path,roi_path,old_crop_path,corner_distance_source_px,source_to_roi_affine,roi_to_source_affine,source_video,source_video_id,source_timestamps,source_timestamps_id,source_master_timeline,source_master_timeline_id,pipeline_version,config_digest,generated_at
sub-010_b6_s4_f00078220_eye_right,sub-010,6,A,4,78220,78220,1786439560369,eye_right,ready_for_annotation,observed,ready,无旧crop,context/sub-010_b6_s4_f00078220.jpg,roi/sub-010_b6_s4_f00078220_eye_right.png,,172.49630737304688,"[[0.9218475355081732,0.10274939671298237,-555.0603731773184],[-0.10274939671298174,0.9218478637097038,-247.33759226502696]]","[[1.0714668273925783,-0.11942596435546932,565.1902465820311],[0.11942596435546858,1.0714664459228513,331.3025512695313]]",E:\预实验\sub-010_\nir\sub-010_nir.avi,sha256-head:f36bbd6ed60dca52:size:9830971154,E:\预实验\sub-010_\nir\sub-010_nir_timestamps.csv,sha256-head:f5f4181b750ed7b1:size:1816848,E:\预实验\sub-010_\beh\master_timeline.csv,sha256-head:725b7e67c8a73b5b:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-010_b6_s4_f00078220_eye_left,sub-010,6,A,4,78220,78220,1786439560369,eye_left,ready_for_annotation,observed,ready,无旧crop,context/sub-010_b6_s4_f00078220.jpg,roi/sub-010_b6_s4_f00078220_eye_left.png,,176.448486328125,"[[0.9063774225000235,0.02702400663503518,-922.3715278720767],[-0.027024163466866778,0.9063775793318558,-312.3868421525082]]","[[1.1023132324218754,-0.032865905761719084,1006.4754638671875],[0.03286609649658188,1.1023130416870117,374.66284179687506]]",E:\预实验\sub-010_\nir\sub-010_nir.avi,sha256-head:f36bbd6ed60dca52:size:9830971154,E:\预实验\sub-010_\nir\sub-010_nir_timestamps.csv,sha256-head:f5f4181b750ed7b1:size:1816848,E:\预实验\sub-010_\beh\master_timeline.csv,sha256-head:725b7e67c8a73b5b:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-000_b1_s2_f00011392_eye_right,sub-000,1,A,2,11392,11392,1786327725063,eye_right,ready_for_annotation,observed,ready,历史代理不可见压力,context/sub-000_b1_s2_f00011392.jpg,roi/sub-000_b1_s2_f00011392_eye_right.png,,201.68064880371094,"[[0.7879101073965654,-0.09260432730239668,-427.99660131987054],[0.09260444734668818,0.7879099873522738,-363.419877701373]]","[[1.2518871307373047,0.14713630676269543,589.2756958007812],[-0.14713649749755864,1.2518873214721682,391.9868164062501]]",E:\预实验\sub-000_\nir\sub-000_nir.avi,sha256-head:2a1bcbb2cf32b66a:size:8317249580,E:\预实验\sub-000_\nir\sub-000_nir_timestamps.csv,sha256-head:576a927af36cd2d3:size:1730740,E:\预实验\sub-000_\beh\master_timeline.csv,sha256-head:7567e6522d32f9dc:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-000_b1_s2_f00011392_eye_left,sub-000,1,A,2,11392,11392,1786327725063,eye_left,ready_for_annotation,observed,ready,历史代理不可见压力,context/sub-000_b1_s2_f00011392.jpg,roi/sub-000_b1_s2_f00011392_eye_left.png,,191.64427185058594,"[[0.8344851079162241,-0.02568056371554607,-887.3277229615558],[0.025680297821656678,0.8344851079162242,-319.40207978021704]]","[[1.1972099304199222,0.03684310913085803,1074.0853271484377],[-0.03684272766113281,1.197209930419922,349.6997680664063]]",E:\预实验\sub-000_\nir\sub-000_nir.avi,sha256-head:2a1bcbb2cf32b66a:size:8317249580,E:\预实验\sub-000_\nir\sub-000_nir_timestamps.csv,sha256-head:576a927af36cd2d3:size:1730740,E:\预实验\sub-000_\beh\master_timeline.csv,sha256-head:7567e6522d32f9dc:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-001_b3_s3_f00034801_eye_right,sub-001,3,C,3,34801,34801,1786274648417,eye_right,ready_for_annotation,observed,ready,P80-closed旧检测未返回,context/sub-001_b3_s3_f00034801.jpg,roi/sub-001_b3_s3_f00034801_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-001_\eye_right\frame_00034801.png,249.77626037597656,"[[0.6392009700675969,0.04190793808678292,-338.52210011449364],[-0.04190778155676553,0.6392008135375794,-214.16928483530742]]","[[1.557757186889648,-0.10213127136230478,505.46185302734386],[0.10213088989257822,1.5577575683593747,368.1973876953125]]",E:\预实验\sub-001_\nir\sub-001_nir.avi,sha256-head:5015d606e1dd1e51:size:8164818670,E:\预实验\sub-001_\nir\sub-001_nir_timestamps.csv,sha256-head:87862d6eab3a6264:size:1697102,E:\预实验\sub-001_\beh\master_timeline.csv,sha256-head:3cddad3cafbadf92:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-001_b3_s3_f00034801_eye_left,sub-001,3,C,3,34801,34801,1786274648417,eye_left,ready_for_annotation,observed,ready,P80-closed旧检测未返回,context/sub-001_b3_s3_f00034801.jpg,roi/sub-001_b3_s3_f00034801_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-001_\eye_left\frame_00034801.png,260.7143859863281,"[[0.6112395282046461,0.054881578104940966,-693.4593030740778],[-0.054881003419704345,0.6112395282046461,-189.2942370232281]]","[[1.6229362487792975,-0.1457191467285147,1097.8564453124998],[0.14571762084960943,1.6229362487792975,408.2617187499999]]",E:\预实验\sub-001_\nir\sub-001_nir.avi,sha256-head:5015d606e1dd1e51:size:8164818670,E:\预实验\sub-001_\nir\sub-001_nir_timestamps.csv,sha256-head:87862d6eab3a6264:size:1697102,E:\预实验\sub-001_\beh\master_timeline.csv,sha256-head:3cddad3cafbadf92:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-002_b4_s2_f00046572_eye_right,sub-002,4,C,2,46572,46572,1786275007966,eye_right,ready_for_annotation,observed,ready,P80-closed但旧检测返回,context/sub-002_b4_s2_f00046572.jpg,roi/sub-002_b4_s2_f00046572_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-002_\eye_right\frame_00046572.png,243.76309204101562,"[[0.6561046184211162,-0.01883904091836666,-359.02152683237523],[0.01883887657041889,0.6561047827690641,-368.04046312122676]]","[[1.5228916168212894,0.043727493286132735,562.8443603515624],[-0.04372711181640645,1.5228912353515627,544.7866210937501]]",E:\预实验\sub-002_\nir\sub-002_nir.avi,sha256-head:7852f710ef34fb1e:size:10118049778,E:\预实验\sub-002_\nir\sub-002_nir_timestamps.csv,sha256-head:2d550939d5bdb586:size:1716924,E:\预实验\sub-002_\beh\master_timeline.csv,sha256-head:381012f8e4b8d8d6:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-002_b4_s2_f00046572_eye_left,sub-002,4,C,2,46572,46572,1786275007966,eye_left,ready_for_annotation,observed,ready,P80-closed但旧检测返回,context/sub-002_b4_s2_f00046572.jpg,roi/sub-002_b4_s2_f00046572_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-002_\eye_left\frame_00046572.png,228.48988342285156,"[[0.6983253696357832,-0.051879304685459295,-772.8770999325968],[0.05187986584613785,0.6983251825822241,-433.5791295930605]]","[[1.424137115478516,0.10580062866210857,1146.5559082031248],[-0.1058017730712893,1.424137496948242,535.7045288085939]]",E:\预实验\sub-002_\nir\sub-002_nir.avi,sha256-head:7852f710ef34fb1e:size:10118049778,E:\预实验\sub-002_\nir\sub-002_nir_timestamps.csv,sha256-head:2d550939d5bdb586:size:1716924,E:\预实验\sub-002_\beh\master_timeline.csv,sha256-head:381012f8e4b8d8d6:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-003_b3_s1_f00034950_eye_right,sub-003,3,C,1,34950,34950,1786326485951,eye_right,ready_for_annotation,observed,ready,部分开合边界,context/sub-003_b3_s1_f00034950.jpg,roi/sub-003_b3_s1_f00034950_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-003_\eye_right\frame_00034950.png,241.1672821044922,"[[0.6633449308028023,0.01122628701722565,-350.0174985527009],[-0.011225951207500334,0.663344930802802,-106.04899514854509]]","[[1.5070796966552729,-0.025505447387695623,524.7994384765626],[0.025504684448242162,1.5070796966552735,168.7513732910156]]",E:\预实验\sub-003_\nir\sub-003_nir.avi,sha256-head:2955ff42c6e0a944:size:11124351134,E:\预实验\sub-003_\nir\sub-003_nir_timestamps.csv,sha256-head:6279b914bbb845e9:size:2260972,E:\预实验\sub-003_\beh\master_timeline.csv,sha256-head:15688eaf886ed5b7:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-003_b3_s1_f00034950_eye_left,sub-003,3,C,1,34950,34950,1786326485951,eye_left,ready_for_annotation,observed,ready,部分开合边界,context/sub-003_b3_s1_f00034950.jpg,roi/sub-003_b3_s1_f00034950_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-003_\eye_left\frame_00034950.png,234.8084716796875,"[[0.6812902227979327,-0.012583103025380207,-756.0208680719509],[0.012583368708420504,0.6812903113589458,-147.54308842823053]]","[[1.4673027038574213,0.027100372314452763,1113.3099365234375],[-0.027100944519042932,1.4673025131225588,196.00146484374997]]",E:\预实验\sub-003_\nir\sub-003_nir.avi,sha256-head:2955ff42c6e0a944:size:11124351134,E:\预实验\sub-003_\nir\sub-003_nir_timestamps.csv,sha256-head:6279b914bbb845e9:size:2260972,E:\预实验\sub-003_\beh\master_timeline.csv,sha256-head:15688eaf886ed5b7:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-005_b2_s3_f00028523_eye_right,sub-005,2,B,3,28523,28523,1786360591415,eye_right,ready_for_annotation,observed,ready,可见低开放度旧检测返回,context/sub-005_b2_s3_f00028523.jpg,roi/sub-005_b2_s3_f00028523_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-005_\eye_right\frame_00028523.png,189.8769989013672,"[[0.8419836469835128,-0.03352352719013064,-435.6441212371403],[0.03352339175685743,0.8419837824167858,-323.9837976191052]]","[[1.1857917785644534,0.047212219238281526,531.8792114257812],[-0.0472120285034179,1.18579158782959,363.60961914062494]]",E:\预实验\sub-005_\nir\sub-005_nir.avi,sha256-head:dd6b716dab310ff3:size:9495192240,E:\预实验\sub-005_\nir\sub-005_nir_timestamps.csv,sha256-head:ce99ee79d0523bdc:size:1802812,E:\预实验\sub-005_\beh\master_timeline.csv,sha256-head:ea6be1df28a038e3:size:1197,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-005_b2_s3_f00028523_eye_left,sub-005,2,B,3,28523,28523,1786360591415,eye_left,ready_for_annotation,observed,ready,可见低开放度旧检测返回,context/sub-005_b2_s3_f00028523.jpg,roi/sub-005_b2_s3_f00028523_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-005_\eye_left\frame_00028523.png,190.12115478515625,"[[0.838556017928505,-0.07114527409117626,-819.7599515703923],[0.07114486883431184,0.8385558828428833,-356.9066693838497]]","[[1.1840034484863278,0.10045394897460956,1006.4512939453127],[-0.10045337677001974,1.1840036392211912,340.2311401367188]]",E:\预实验\sub-005_\nir\sub-005_nir.avi,sha256-head:dd6b716dab310ff3:size:9495192240,E:\预实验\sub-005_\nir\sub-005_nir_timestamps.csv,sha256-head:ce99ee79d0523bdc:size:1802812,E:\预实验\sub-005_\beh\master_timeline.csv,sha256-head:ea6be1df28a038e3:size:1197,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-009_b5_s3_f00056818_eye_right,sub-009,5,B,3,56818,56818,1786415384589,eye_right,ready_for_annotation,observed,ready,可见低开放度旧检测未返回,context/sub-009_b5_s3_f00056818.jpg,roi/sub-009_b5_s3_f00056818_eye_right.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-009_\eye_right\frame_00056818.png,208.2618408203125,"[[0.7671331228280787,0.04166280131008061,-416.0257297592695],[-0.041662576155648334,0.7671328976736461,-304.89113719514603]]","[[1.2997211456298827,-0.07058753967285167,519.1959228515625],[0.07058715820312517,1.2997215270996096,425.63964843749994]]",E:\预实验\sub-009_\nir\sub-009_nir.avi,sha256-head:638202d7a0ce7a4a:size:8297687878,E:\预实验\sub-009_\nir\sub-009_nir_timestamps.csv,sha256-head:9084c274963f6f00:size:1576322,E:\预实验\sub-009_\beh\master_timeline.csv,sha256-head:611def02325c5fcf:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
sub-009_b5_s3_f00056818_eye_left,sub-009,5,B,3,56818,56818,1786415384589,eye_left,ready_for_annotation,observed,ready,可见低开放度旧检测未返回,context/sub-009_b5_s3_f00056818.jpg,roi/sub-009_b5_s3_f00056818_eye_left.png,D:\_AttentionData\output\040-pre-experiment\040-nir\crops\sub-009_\eye_left\frame_00056818.png,210.8551788330078,"[[0.7579691934108548,-0.0358104433341999,-757.1455256530879],[0.035810882634509954,0.7579691934108551,-379.4608841424043]]","[[1.3163764953613286,0.06219253540038981,1020.2882080078125],[-0.06219329833984379,1.316376495361328,452.42401123046875]]",E:\预实验\sub-009_\nir\sub-009_nir.avi,sha256-head:638202d7a0ce7a4a:size:8297687878,E:\预实验\sub-009_\nir\sub-009_nir_timestamps.csv,sha256-head:9084c274963f6f00:size:1576322,E:\预实验\sub-009_\beh\master_timeline.csv,sha256-head:611def02325c5fcf:size:1194,0.2.0-behavior-evidence,998a93897342518f,2026-08-14T01:03:16+08:00
