image_id,subject,batch,block,frame_idx,unix_ms,image_path,source_video
subject_sub-011_frame_065278,sub-011,batch1,3,65278,1786793813879,images/batch1/subject_sub-011_frame_065278.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-011_frame_068423,sub-011,batch1,3,68423,1786793918741,images/batch1/subject_sub-011_frame_068423.jpg,E:\正式实验\sub-011_\nir\sub-011_nir.avi
subject_sub-012_frame_011730,sub-012,batch1,1,11730,1786794051217,images/batch1/subject_sub-012_frame_011730.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_014995,sub-012,batch1,1,14995,1786794160087,images/batch1/subject_sub-012_frame_014995.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_018262,sub-012,batch1,1,18262,1786794269001,images/batch1/subject_sub-012_frame_018262.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_021530,sub-012,batch1,1,21530,1786794377894,images/batch1/subject_sub-012_frame_021530.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_024798,sub-012,batch1,1,24798,1786794486846,images/batch1/subject_sub-012_frame_024798.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_033459,sub-012,batch1,2,33459,1786794775521,images/batch1/subject_sub-012_frame_033459.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_036834,sub-012,batch1,2,36834,1786794888032,images/batch1/subject_sub-012_frame_036834.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_040210,sub-012,batch1,2,40210,1786795000561,images/batch1/subject_sub-012_frame_040210.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_043586,sub-012,batch1,2,43586,1786795113094,images/batch1/subject_sub-012_frame_043586.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_046962,sub-012,batch1,2,46962,1786795225651,images/batch1/subject_sub-012_frame_046962.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_055330,sub-012,batch1,3,55330,1786795504572,images/batch1/subject_sub-012_frame_055330.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_058609,sub-012,batch1,3,58609,1786795613871,images/batch1/subject_sub-012_frame_058609.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_061888,sub-012,batch1,3,61888,1786795723161,images/batch1/subject_sub-012_frame_061888.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_065166,sub-012,batch1,3,65166,1786795832428,images/batch1/subject_sub-012_frame_065166.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-012_frame_068445,sub-012,batch1,3,68445,1786795941721,images/batch1/subject_sub-012_frame_068445.jpg,E:\正式实验\sub-012_\nir\sub-012_nir.avi
subject_sub-013_frame_012501,sub-013,batch1,1,12501,1786793888007,images/batch1/subject_sub-013_frame_012501.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_015833,sub-013,batch1,1,15833,1786793999066,images/batch1/subject_sub-013_frame_015833.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_019164,sub-013,batch1,1,19164,1786794110121,images/batch1/subject_sub-013_frame_019164.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_022496,sub-013,batch1,1,22496,1786794221189,images/batch1/subject_sub-013_frame_022496.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_025828,sub-013,batch1,1,25828,1786794332248,images/batch1/subject_sub-013_frame_025828.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_034107,sub-013,batch1,2,34107,1786794608228,images/batch1/subject_sub-013_frame_034107.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_037378,sub-013,batch1,2,37378,1786794717254,images/batch1/subject_sub-013_frame_037378.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_040648,sub-013,batch1,2,40648,1786794826264,images/batch1/subject_sub-013_frame_040648.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_043920,sub-013,batch1,2,43920,1786794935322,images/batch1/subject_sub-013_frame_043920.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_047190,sub-013,batch1,2,47190,1786795044323,images/batch1/subject_sub-013_frame_047190.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_055171,sub-013,batch1,3,55171,1786795310346,images/batch1/subject_sub-013_frame_055171.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_058446,sub-013,batch1,3,58446,1786795419521,images/batch1/subject_sub-013_frame_058446.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_061721,sub-013,batch1,3,61721,1786795528687,images/batch1/subject_sub-013_frame_061721.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_064996,sub-013,batch1,3,64996,1786795637872,images/batch1/subject_sub-013_frame_064996.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-013_frame_068270,sub-013,batch1,3,68270,1786795747007,images/batch1/subject_sub-013_frame_068270.jpg,E:\正式实验\sub-013_\nir\sub-013_nir.avi
subject_sub-014_frame_011534,sub-014,batch1,1,11534,1786795655502,images/batch1/subject_sub-014_frame_011534.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_014827,sub-014,batch1,1,14827,1786795765232,images/batch1/subject_sub-014_frame_014827.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_018118,sub-014,batch1,1,18118,1786795874982,images/batch1/subject_sub-014_frame_018118.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_021412,sub-014,batch1,1,21412,1786795984751,images/batch1/subject_sub-014_frame_021412.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_024705,sub-014,batch1,1,24705,1786796094527,images/batch1/subject_sub-014_frame_024705.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_034732,sub-014,batch1,2,34732,1786796428734,images/batch1/subject_sub-014_frame_034732.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_038057,sub-014,batch1,2,38057,1786796539607,images/batch1/subject_sub-014_frame_038057.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_041384,sub-014,batch1,2,41384,1786796650489,images/batch1/subject_sub-014_frame_041384.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_044711,sub-014,batch1,2,44711,1786796761387,images/batch1/subject_sub-014_frame_044711.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_048037,sub-014,batch1,2,48037,1786796872253,images/batch1/subject_sub-014_frame_048037.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_056558,sub-014,batch1,3,56558,1786797156267,images/batch1/subject_sub-014_frame_056558.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_060036,sub-014,batch1,3,60036,1786797272205,images/batch1/subject_sub-014_frame_060036.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_063514,sub-014,batch1,3,63514,1786797388151,images/batch1/subject_sub-014_frame_063514.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_066992,sub-014,batch1,3,66992,1786797504090,images/batch1/subject_sub-014_frame_066992.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-014_frame_070470,sub-014,batch1,3,70470,1786797620015,images/batch1/subject_sub-014_frame_070470.jpg,E:\正式实验\sub-014_\nir\sub-014_nir.avi
subject_sub-015_frame_015488,sub-015,batch1,1,15488,1786795808977,images/batch1/subject_sub-015_frame_015488.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_018698,sub-015,batch1,1,18698,1786795915986,images/batch1/subject_sub-015_frame_018698.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_021908,sub-015,batch1,1,21908,1786796022962,images/batch1/subject_sub-015_frame_021908.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_025118,sub-015,batch1,1,25118,1786796129973,images/batch1/subject_sub-015_frame_025118.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_028328,sub-015,batch1,1,28328,1786796236991,images/batch1/subject_sub-015_frame_028328.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_037129,sub-015,batch1,2,37129,1786796530334,images/batch1/subject_sub-015_frame_037129.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_040299,sub-015,batch1,2,40299,1786796635999,images/batch1/subject_sub-015_frame_040299.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_043469,sub-015,batch1,2,43469,1786796741646,images/batch1/subject_sub-015_frame_043469.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_046638,sub-015,batch1,2,46638,1786796847310,images/batch1/subject_sub-015_frame_046638.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_049809,sub-015,batch1,2,49809,1786796953007,images/batch1/subject_sub-015_frame_049809.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_058828,sub-015,batch1,3,58828,1786797253627,images/batch1/subject_sub-015_frame_058828.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_062081,sub-015,batch1,3,62081,1786797362096,images/batch1/subject_sub-015_frame_062081.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_065335,sub-015,batch1,3,65335,1786797470539,images/batch1/subject_sub-015_frame_065335.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_068589,sub-015,batch1,3,68589,1786797579002,images/batch1/subject_sub-015_frame_068589.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-015_frame_071843,sub-015,batch1,3,71843,1786797687451,images/batch1/subject_sub-015_frame_071843.jpg,E:\正式实验\sub-015_\nir\sub-015_nir.avi
subject_sub-016_frame_010554,sub-016,batch1,1,10554,1786796806384,images/batch1/subject_sub-016_frame_010554.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_013869,sub-016,batch1,1,13869,1786796916929,images/batch1/subject_sub-016_frame_013869.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_017184,sub-016,batch1,1,17184,1786797027420,images/batch1/subject_sub-016_frame_017184.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_020499,sub-016,batch1,1,20499,1786797137925,images/batch1/subject_sub-016_frame_020499.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_023814,sub-016,batch1,1,23814,1786797248419,images/batch1/subject_sub-016_frame_023814.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_032875,sub-016,batch1,2,32875,1786797550446,images/batch1/subject_sub-016_frame_032875.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_036316,sub-016,batch1,2,36316,1786797665150,images/batch1/subject_sub-016_frame_036316.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_039755,sub-016,batch1,2,39755,1786797779771,images/batch1/subject_sub-016_frame_039755.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_043194,sub-016,batch1,2,43194,1786797894426,images/batch1/subject_sub-016_frame_043194.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_046634,sub-016,batch1,2,46634,1786798009093,images/batch1/subject_sub-016_frame_046634.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_057753,sub-016,batch1,3,57753,1786798379732,images/batch1/subject_sub-016_frame_057753.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_060977,sub-016,batch1,3,60977,1786798487181,images/batch1/subject_sub-016_frame_060977.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_064200,sub-016,batch1,3,64200,1786798594598,images/batch1/subject_sub-016_frame_064200.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_067423,sub-016,batch1,3,67423,1786798702044,images/batch1/subject_sub-016_frame_067423.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-016_frame_070646,sub-016,batch1,3,70646,1786798809490,images/batch1/subject_sub-016_frame_070646.jpg,E:\正式实验\sub-016_\nir\sub-016_nir.avi
subject_sub-017_frame_012336,sub-017,batch1,1,12336,1786843989191,images/batch1/subject_sub-017_frame_012336.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_015581,sub-017,batch1,1,15581,1786844097342,images/batch1/subject_sub-017_frame_015581.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_018824,sub-017,batch1,1,18824,1786844205473,images/batch1/subject_sub-017_frame_018824.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_022069,sub-017,batch1,1,22069,1786844313635,images/batch1/subject_sub-017_frame_022069.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_025313,sub-017,batch1,1,25313,1786844421751,images/batch1/subject_sub-017_frame_025313.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_033468,sub-017,batch1,2,33468,1786844693599,images/batch1/subject_sub-017_frame_033468.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_036613,sub-017,batch1,2,36613,1786844798417,images/batch1/subject_sub-017_frame_036613.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_039757,sub-017,batch1,2,39757,1786844903214,images/batch1/subject_sub-017_frame_039757.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_042901,sub-017,batch1,2,42901,1786845008033,images/batch1/subject_sub-017_frame_042901.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_046046,sub-017,batch1,2,46046,1786845112871,images/batch1/subject_sub-017_frame_046046.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_054360,sub-017,batch1,3,54360,1786845389992,images/batch1/subject_sub-017_frame_054360.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_057494,sub-017,batch1,3,57494,1786845494458,images/batch1/subject_sub-017_frame_057494.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_060629,sub-017,batch1,3,60629,1786845598977,images/batch1/subject_sub-017_frame_060629.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_063764,sub-017,batch1,3,63764,1786845703463,images/batch1/subject_sub-017_frame_063764.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-017_frame_066900,sub-017,batch1,3,66900,1786845807978,images/batch1/subject_sub-017_frame_066900.jpg,E:\正式实验\sub-017_\nir\sub-017_nir.avi
subject_sub-018_frame_012300,sub-018,batch1,1,12300,1786844613385,images/batch1/subject_sub-018_frame_012300.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_015538,sub-018,batch1,1,15538,1786844721321,images/batch1/subject_sub-018_frame_015538.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_018777,sub-018,batch1,1,18777,1786844829273,images/batch1/subject_sub-018_frame_018777.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_022015,sub-018,batch1,1,22015,1786844937243,images/batch1/subject_sub-018_frame_022015.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_025254,sub-018,batch1,1,25254,1786845045162,images/batch1/subject_sub-018_frame_025254.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_033654,sub-018,batch1,2,33654,1786845325160,images/batch1/subject_sub-018_frame_033654.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_036828,sub-018,batch1,2,36828,1786845430967,images/batch1/subject_sub-018_frame_036828.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_040002,sub-018,batch1,2,40002,1786845536792,images/batch1/subject_sub-018_frame_040002.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_043177,sub-018,batch1,2,43177,1786845642598,images/batch1/subject_sub-018_frame_043177.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_046350,sub-018,batch1,2,46350,1786845748374,images/batch1/subject_sub-018_frame_046350.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_054039,sub-018,batch1,3,54039,1786846004676,images/batch1/subject_sub-018_frame_054039.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_057207,sub-018,batch1,3,57207,1786846110260,images/batch1/subject_sub-018_frame_057207.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_060374,sub-018,batch1,3,60374,1786846215843,images/batch1/subject_sub-018_frame_060374.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_063541,sub-018,batch1,3,63541,1786846321412,images/batch1/subject_sub-018_frame_063541.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-018_frame_066709,sub-018,batch1,3,66709,1786846426996,images/batch1/subject_sub-018_frame_066709.jpg,E:\正式实验\sub-018_\nir\sub-018_nir.avi
subject_sub-019_frame_018823,sub-019,batch1,1,18823,1786849807959,images/batch1/subject_sub-019_frame_018823.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_022519,sub-019,batch1,1,22519,1786849931153,images/batch1/subject_sub-019_frame_022519.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_026214,sub-019,batch1,1,26214,1786850054327,images/batch1/subject_sub-019_frame_026214.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_029911,sub-019,batch1,1,29911,1786850177542,images/batch1/subject_sub-019_frame_029911.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_033606,sub-019,batch1,1,33606,1786850300705,images/batch1/subject_sub-019_frame_033606.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_048051,sub-019,batch1,2,48051,1786850782231,images/batch1/subject_sub-019_frame_048051.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_051656,sub-019,batch1,2,51656,1786850902392,images/batch1/subject_sub-019_frame_051656.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_055261,sub-019,batch1,2,55261,1786851022529,images/batch1/subject_sub-019_frame_055261.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_058865,sub-019,batch1,2,58865,1786851142690,images/batch1/subject_sub-019_frame_058865.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_062470,sub-019,batch1,2,62470,1786851262848,images/batch1/subject_sub-019_frame_062470.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_074292,sub-019,batch1,3,74292,1786851656912,images/batch1/subject_sub-019_frame_074292.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_077706,sub-019,batch1,3,77706,1786851770703,images/batch1/subject_sub-019_frame_077706.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_081120,sub-019,batch1,3,81120,1786851884522,images/batch1/subject_sub-019_frame_081120.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_084535,sub-019,batch1,3,84535,1786851998351,images/batch1/subject_sub-019_frame_084535.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-019_frame_087949,sub-019,batch1,3,87949,1786852112140,images/batch1/subject_sub-019_frame_087949.jpg,E:\正式实验\sub-019_\nir\sub-019_nir.avi
subject_sub-020_frame_014997,sub-020,batch1,1,14997,1786849941854,images/batch1/subject_sub-020_frame_014997.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_018372,sub-020,batch1,1,18372,1786850054331,images/batch1/subject_sub-020_frame_018372.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_021747,sub-020,batch1,1,21747,1786850166843,images/batch1/subject_sub-020_frame_021747.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_025122,sub-020,batch1,1,25122,1786850279320,images/batch1/subject_sub-020_frame_025122.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_028496,sub-020,batch1,1,28496,1786850391816,images/batch1/subject_sub-020_frame_028496.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_038798,sub-020,batch1,2,38798,1786850735190,images/batch1/subject_sub-020_frame_038798.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_042141,sub-020,batch1,2,42141,1786850846630,images/batch1/subject_sub-020_frame_042141.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_045484,sub-020,batch1,2,45484,1786850958070,images/batch1/subject_sub-020_frame_045484.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_048828,sub-020,batch1,2,48828,1786851069526,images/batch1/subject_sub-020_frame_048828.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_052171,sub-020,batch1,2,52171,1786851180965,images/batch1/subject_sub-020_frame_052171.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_061198,sub-020,batch1,3,61198,1786851481876,images/batch1/subject_sub-020_frame_061198.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_064552,sub-020,batch1,3,64552,1786851593699,images/batch1/subject_sub-020_frame_064552.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_067906,sub-020,batch1,3,67906,1786851705476,images/batch1/subject_sub-020_frame_067906.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_071260,sub-020,batch1,3,71260,1786851817284,images/batch1/subject_sub-020_frame_071260.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-020_frame_074614,sub-020,batch1,3,74614,1786851929057,images/batch1/subject_sub-020_frame_074614.jpg,E:\正式实验\sub-020_\nir\sub-020_nir.avi
subject_sub-021_frame_014094,sub-021,batch1,1,14094,1786864023589,images/batch1/subject_sub-021_frame_014094.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_017379,sub-021,batch1,1,17379,1786864133076,images/batch1/subject_sub-021_frame_017379.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_020665,sub-021,batch1,1,20665,1786864242613,images/batch1/subject_sub-021_frame_020665.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_023950,sub-021,batch1,1,23950,1786864352113,images/batch1/subject_sub-021_frame_023950.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_027235,sub-021,batch1,1,27235,1786864461615,images/batch1/subject_sub-021_frame_027235.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_036077,sub-021,batch1,2,36077,1786864756318,images/batch1/subject_sub-021_frame_036077.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_039320,sub-021,batch1,2,39320,1786864864446,images/batch1/subject_sub-021_frame_039320.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_042564,sub-021,batch1,2,42564,1786864972579,images/batch1/subject_sub-021_frame_042564.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_045808,sub-021,batch1,2,45808,1786865080704,images/batch1/subject_sub-021_frame_045808.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_049052,sub-021,batch1,2,49052,1786865188827,images/batch1/subject_sub-021_frame_049052.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_058975,sub-021,batch1,3,58975,1786865519610,images/batch1/subject_sub-021_frame_058975.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
subject_sub-021_frame_062148,sub-021,batch1,3,62148,1786865625360,images/batch1/subject_sub-021_frame_062148.jpg,E:\正式实验\sub-021_\nir\sub-021_nir.avi
